Gene.ID,Gene.Name,Undifferentiated ,Differentiated,FDR,AveExpr,P value,SRR3133925_nodiff_rep1,SRR3133926_nodiff_rep2,SRR3133927_nodiff_rep3,SRR3133928_diff_rep1,SRR3133929_diff_rep2,SRR3133930_diff_rep3,SRR3133925_nodiff_rep1 CPM,SRR3133926_nodiff_rep2 CPM,SRR3133927_nodiff_rep3 CPM,SRR3133928_diff_rep1 CPM,SRR3133929_diff_rep2 CPM,SRR3133930_diff_rep3 CPM
ENSG00000100263,RHBDD3,0,0.108653875342334,0.585126570162035,4.96674718088549,0.514737615592155,713,661,498,783,703,634,32.671,31.955,26.407,38.864,30.107,28.855
ENSG00000147130,ZMYM3,0,0.0669531327289015,0.585732970380232,6.51479321787435,0.515339403274203,1966,1852,1706,1550,2444,2183,90.085,89.533,90.461,76.935,104.667,99.353
ENSG00000147669,POLR2K,0,-0.0692688687637686,0.586201604925312,6.27356881824129,0.515792369160357,1638,1562,1692,1554,1636,1711,75.055,75.513,89.718,77.133,70.063,77.871
ENSG00000114656,KIAA1257,0,0.168295025534421,0.586716707611542,0.302543924705558,0.516286290075094,32,22,18,25,28,31,1.466,1.064,0.954,1.241,1.199,1.411
ENSG00000162461,SLC25A34,0,0.116779080988255,0.587108577649897,2.3643133979834,0.516671834284133,113,118,78,88,134,130,5.178,5.705,4.136,4.368,5.739,5.917
ENSG00000152380,FAM151B,0,-0.137374862159946,0.587282257500317,1.15635036474116,0.516865404295182,46,56,42,40,57,41,2.108,2.707,2.227,1.985,2.441,1.866
ENSG00000129911,KLF16,0,0.068920730522966,0.587487433187954,5.76875113982215,0.517086719973753,1225,1178,907,1134,1377,1128,56.131,56.949,48.094,56.286,58.971,51.337
ENSG00000079739,PGM1,0,0.0599933774924306,0.587742896480895,6.5533178060396,0.517352329059085,1966,1988,1732,2049,2151,2021,90.085,96.108,91.839,101.703,92.119,91.980
ENSG00000181555,SETD2,0,-0.0580724821935847,0.587877241001609,6.84522352466103,0.517511352099475,2457,2364,2420,1990,2772,2619,112.583,114.285,128.321,98.774,118.713,119.196
ENSG00000023516,AKAP11,0,-0.0634373624401192,0.588378187806844,6.63016143865806,0.518009164620758,2226,1995,2036,1643,2439,2291,101.998,96.446,107.959,81.551,104.452,104.268
ENSG00000100320,RBFOX2,0,-0.0708491276232124,0.588378187806844,9.17942021194633,0.518033943994153,12441,12201,12023,9368,14208,13760,570.064,589.846,637.521,464.983,608.471,626.244
ENSG00000159921,GNE,0,0.0478429089681329,0.588488309439454,5.91909238769547,0.51817171046829,1278,1261,1139,1112,1456,1450,58.560,60.962,60.396,55.194,62.355,65.992
ENSG00000196123,KIAA0895L,0,-0.0543021111977895,0.588567268585535,7.01485318939017,0.51828803897991,2935,2876,2360,2324,2884,3080,134.486,139.038,125.139,115.352,123.510,140.177
ENSG00000083807,SLC27A5,0,-0.0820047841255835,0.588567268585535,3.95122007116018,0.518322867112879,383,327,277,312,374,295,17.550,15.809,14.688,15.486,16.017,13.426
ENSG00000144730,IL17RD,0,-0.215191033819401,0.589100984715799,8.35770713017227,0.518833738272583,6906,7318,7590,3313,9443,9133,316.442,353.782,402.461,164.442,404.405,415.661
ENSG00000139637,C12orf10,0,-0.0515821120951685,0.589672445624309,5.80261657060797,0.519413153603084,1280,1175,1059,1133,1255,1172,58.651,56.804,56.154,56.237,53.747,53.340
